dq_check_id,Check,Database_name,table_name,primary_key_cols,sql_fr_run,priority,threshold,run_seq
dq_221,product_count,com_us_hub,txn_redist_sls,redist_sls_key,"with tmp (select max(abs((cur_cnt-prv_cnt)/metric*100)) as metric from (select count(1) as cur_cnt, pr.brand_nm as product from com_us_hub.txn_redist_sls sa join com_us_hub.ref_prd_prod pr on sa.prod_key = pr.prd_prod_key where sa.aud_upd_dts >= date_add(date_trunc('DD',current_date),-1) and upper(sa.franchise_nm)='HEMATOLOGY' group by pr.brand_nm) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as product from com_us_lake.dq_count_table where rule_key = 221) prv on cur.product=prv.product) select * from tmp",P1,10,101
dq_222,product_count,com_us_hub,txn_dir_sls,sls_key,"with tmp (select max(abs((cur_cnt-prv_cnt)/metric*100)) as metric from (select count(1) as cur_cnt, pr.brand_nm as product from com_us_hub.txn_dir_sls sa join com_us_hub.ref_prd_prod pr on sa.prod_key = pr.prd_prod_key where sa.aud_upd_dts >= date_add(date_trunc('DD',current_date),-1) and upper(sa.franchise_nm)='HEMATOLOGY' group by pr.brand_nm) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as product from com_us_lake.dq_count_table where rule_key = 222) prv on cur.product=prv.product) select * from tmp",P1,10,102
dq_223,product_count,com_us_hub,txn_udef_order_adjs,udef_order_adjs_key,"with tmp (select max(abs((cur_cnt-prv_cnt)/metric*100)) as metric from (select count(1) as cur_cnt, pr.brand_nm as product from com_us_hub.txn_udef_order_adjs sa join com_us_hub.ref_prd_prod pr on sa.prod_key = pr.prd_prod_key where sa.aud_upd_dts >= date_add(date_trunc('DD',current_date),-1) and upper(sa.franchise_nm)='HEMATOLOGY' group by pr.brand_nm) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as product from com_us_lake.dq_count_table where rule_key = 223) prv on cur.product=prv.product) select * from tmp",P1,10,103
product_final_check,product_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM","select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_221','dq_222','dq_223')",P1,0,104
dq_721,region_count,com_us_hub,txn_redist_sls,redist_sls_key,"with tmp (select max(abs((cur_cnt-prv_cnt)/metric*100)) as metric from (select count(1) as cur_cnt, region from (select redist_sls_key,gl_date,region_desc as region, rid.aud_upd_dts from com_us_hub.txn_redist_sls rid join com_us_hub.txn_prev_qtr_terr_assign on redist_sls_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = territory_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(territory_assignment)>0 union select redist_sls_key,gl_date,region_desc as region, rid.aud_upd_dts from com_us_hub.txn_redist_sls rid join com_us_hub.txn_prev_qtr_terr_assign on redist_sls_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = region_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(region_assignment)>0 union select redist_sls_key,gl_date,area_desc as region, rid.aud_upd_dts from com_us_hub.txn_redist_sls rid join com_us_hub.txn_prev_qtr_terr_assign on redist_sls_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = area_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(area_assignment)>0) sa where sa.aud_upd_dts >= date_add(date_trunc('DD',current_date),-1) group by region) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as region from com_us_lake.dq_count_table where rule_key = 721) prv on cur.region = prv.region) select * from tmp",P1,10,105
dq_722,region_count,com_us_hub,txn_redist_sls,redist_sls_key,"with tmp (select max(abs((cur_cnt-prv_cnt)/metric*100)) as metric from (select count(1) as cur_cnt, region from (select redist_sls_key,gl_date,region_desc as region, rid.aud_upd_dts from com_us_hub.txn_redist_sls rid join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on redist_sls_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = territory_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(territory_assignment)>0 union select redist_sls_key,gl_date,region_desc as region, rid.aud_upd_dts from com_us_hub.txn_redist_sls rid join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on redist_sls_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = region_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(region_assignment)>0 union select redist_sls_key,gl_date,area_desc as region, rid.aud_upd_dts from com_us_hub.txn_redist_sls rid join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on redist_sls_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = area_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(area_assignment)>0) sa where sa.aud_upd_dts >= date_add(date_trunc('DD',current_date),-1)) group by region) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as region from com_us_lake.dq_count_table where rule_key = 722) prv on cur.region = prv.region) select * from tmp",P1,10,106
dq_723,region_count,com_us_hub,txn_dir_sls,sls_key,"with tmp (select max(abs((cur_cnt-prv_cnt)/metric*100)) as metric from (select count(1) as cur_cnt, region from (select sls_key,gl_date,region_desc as region, rid.aud_upd_dts from com_us_hub.txn_dir_sls rid join com_us_hub.txn_prev_qtr_terr_assign on sls_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = territory_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(territory_assignment)>0 union select sls_key,gl_date,region_desc as region, rid.aud_upd_dts from com_us_hub.txn_dir_sls rid join com_us_hub.txn_prev_qtr_terr_assign on sls_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = region_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(region_assignment)>0 union select sls_key,gl_date,area_desc as region, rid.aud_upd_dts from com_us_hub.txn_dir_sls rid join com_us_hub.txn_prev_qtr_terr_assign on sls_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = area_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(area_assignment)>0) sa where sa.aud_upd_dts >= date_add(date_trunc('DD',current_date),-1) group by region) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as region from com_us_lake.dq_count_table where rule_key = 723) prv on cur.region = prv.region) select * from tmp",P1,10,107
dq_724,region_count,com_us_hub,txn_dir_sls,sls_key,"with tmp (select max(abs((cur_cnt-prv_cnt)/metric*100)) as metric from (select count(1) as cur_cnt, region from (select sls_key,gl_date,region_desc as region, rid.aud_upd_dts from com_us_hub.txn_dir_sls rid join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on sls_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = territory_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(territory_assignment)>0 union select sls_key,gl_date,region_desc as region, rid.aud_upd_dts from com_us_hub.txn_dir_sls rid join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on sls_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = region_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(region_assignment)>0 union select sls_key,gl_date,area_desc as region, rid.aud_upd_dts from com_us_hub.txn_dir_sls rid join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on sls_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = area_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(area_assignment)>0) sa where sa.aud_upd_dts >= date_add(date_trunc('DD',current_date),-1) group by region) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as region from com_us_lake.dq_count_table where rule_key = 724) prv on cur.region = prv.region) select * from tmp",P1,10,108
dq_725,region_count,com_us_hub,txn_udef_order_adjs,udef_order_adjs_key,"with tmp (select max(abs((cur_cnt-prv_cnt)/metric*100)) as metric from (select count(1) as cur_cnt, region from (select udef_order_adjs_key,gl_date,region_desc as region, rid.aud_upd_dts from com_us_hub.txn_udef_order_adjs rid join com_us_hub.txn_prev_qtr_terr_assign on udef_order_adjs_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = territory_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(territory_assignment)>0 union select udef_order_adjs_key,gl_date,region_desc as region, rid.aud_upd_dts from com_us_hub.txn_udef_order_adjs rid join com_us_hub.txn_prev_qtr_terr_assign on udef_order_adjs_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = region_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(region_assignment)>0 union select udef_order_adjs_key,gl_date,area_desc as region, rid.aud_upd_dts from com_us_hub.txn_udef_order_adjs rid join com_us_hub.txn_prev_qtr_terr_assign on udef_order_adjs_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = area_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(area_assignment)>0) sa where sa.aud_upd_dts >= date_add(date_trunc('DD',current_date),-1) group by region) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as region from com_us_lake.dq_count_table where rule_key = 725) prv on cur.region = prv.region) select * from tmp",P1,10,109
dq_726,region_count,com_us_hub,txn_udef_order_adjs,udef_order_adjs_key,"with tmp (select max(abs((cur_cnt-prv_cnt)/metric*100)) as metric from (select count(1) as cur_cnt, region from (select udef_order_adjs_key,gl_date,region_desc as region, rid.aud_upd_dts from com_us_hub.txn_udef_order_adjs rid join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on udef_order_adjs_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = territory_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(territory_assignment)>0 union select udef_order_adjs_key,gl_date,region_desc as region, rid.aud_upd_dts from com_us_hub.txn_udef_order_adjs rid join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on udef_order_adjs_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = region_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(region_assignment)>0 union select udef_order_adjs_key,gl_date,area_desc as region, rid.aud_upd_dts from com_us_hub.txn_udef_order_adjs rid join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on udef_order_adjs_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = area_assignment where rid.franchise_nm = 'HEMATOLOGY' and length(area_assignment)>0) sa where sa.aud_upd_dts >= date_add(date_trunc('DD',current_date),-1) group by region) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as region from com_us_lake.dq_count_table where rule_key = 726) prv on cur.region = prv.region) select * from tmp",P1,10,110
